"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2020","5,053.75","5,183.15","5,236.80","5,044.05","","-2.43%"
"03/16/2020","5,179.45","5,305.50","5,345.15","5,165.75","","-5.86%"
"03/13/2020","5,501.75","4,907.45","5,529.15","4,795.25","","2.29%"
"03/12/2020","5,378.45","5,597.80","5,613.75","5,323.15","","-7.83%"
"03/11/2020","5,835.15","5,863.30","5,953.25","5,811.45","","-0.74%"
"03/09/2020","5,878.60","6,002.60","6,019.05","5,801.45","","-4.19%"
"03/06/2020","6,135.45","6,049.10","6,143.40","5,987.35","","-1.99%"
"03/05/2020","6,260.15","6,278.00","6,303.45","6,212.30","","0.24%"
"03/04/2020","6,244.95","6,355.65","6,370.55","6,156.90","","-1.53%"
"03/03/2020","6,342.05","6,286.35","6,360.75","6,251.55","","1.73%"
"03/02/2020","6,234.45","6,351.55","6,416.90","6,200.60","","-0.66%"
"02/28/2020","6,276.00","6,329.30","6,333.80","6,219.55","","-2.99%"
"02/27/2020","6,469.30","6,519.20","6,519.50","6,414.40","","-0.71%"
"02/26/2020","6,515.50","6,569.95","6,580.20","6,500.30","","-1.15%"
"02/25/2020","6,591.25","6,634.70","6,672.70","6,580.70","","-0.44%"
"02/24/2020","6,620.55","6,713.85","6,713.85","6,614.00","","-1.74%"
"02/20/2020","6,738.10","6,698.65","6,765.20","6,688.35","","0.75%"
"02/19/2020","6,687.65","6,632.35","6,691.55","6,630.25","","1.44%"
"02/18/2020","6,592.60","6,622.15","6,623.25","6,529.60","","-0.57%"
"02/17/2020","6,630.65","6,703.55","6,706.15","6,627.50","","-0.89%"
"02/14/2020","6,690.35","6,750.35","6,765.60","6,680.15","","-0.62%"
"02/13/2020","6,732.30","6,748.45","6,749.90","6,705.85","","-0.12%"
"02/12/2020","6,740.10","6,769.20","6,777.60","6,728.85","","-0.16%"
"02/11/2020","6,751.20","6,774.10","6,795.00","6,740.70","","0.07%"
"02/10/2020","6,746.25","6,808.20","6,808.20","6,733.90","","-0.68%"
"02/07/2020","6,792.20","6,760.95","6,798.70","6,742.55","","0.77%"
"02/06/2020","6,740.10","6,728.45","6,757.50","6,698.60","","0.56%"
"02/05/2020","6,702.25","6,659.65","6,726.35","6,653.30","","1.08%"
"02/04/2020","6,630.75","6,586.60","6,642.40","6,585.10","","1.08%"
"02/03/2020","6,559.65","6,485.95","6,588.20","6,464.45","","-1.53%"
"01/31/2020","6,661.75","6,714.25","6,719.80","6,645.60","","-0.44%"
"01/30/2020","6,691.15","6,756.65","6,757.35","6,675.30","","-0.72%"
