"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","31 Aug 2020","-","-","-","5178.65"
"NIFTY TOTAL MARKET","28 Aug 2020","-","-","-","5329.77"
"NIFTY TOTAL MARKET","27 Aug 2020","-","-","-","5298.12"
"NIFTY TOTAL MARKET","26 Aug 2020","-","-","-","5290.69"
"NIFTY TOTAL MARKET","25 Aug 2020","-","-","-","5258.31"
"NIFTY TOTAL MARKET","24 Aug 2020","-","-","-","5252.15"
"NIFTY TOTAL MARKET","21 Aug 2020","-","-","-","5210.05"
"NIFTY TOTAL MARKET","20 Aug 2020","-","-","-","5178.95"
"NIFTY TOTAL MARKET","19 Aug 2020","-","-","-","5201.43"
"NIFTY TOTAL MARKET","18 Aug 2020","-","-","-","5183.66"
"NIFTY TOTAL MARKET","17 Aug 2020","-","-","-","5120.25"
"NIFTY TOTAL MARKET","14 Aug 2020","-","-","-","5090.20"
"NIFTY TOTAL MARKET","13 Aug 2020","-","-","-","5142.06"
"NIFTY TOTAL MARKET","12 Aug 2020","-","-","-","5128.64"
"NIFTY TOTAL MARKET","11 Aug 2020","-","-","-","5131.59"
"NIFTY TOTAL MARKET","10 Aug 2020","-","-","-","5119.20"
"NIFTY TOTAL MARKET","07 Aug 2020","-","-","-","5079.64"
"NIFTY TOTAL MARKET","06 Aug 2020","-","-","-","5062.56"
"NIFTY TOTAL MARKET","05 Aug 2020","-","-","-","5017.99"
"NIFTY TOTAL MARKET","04 Aug 2020","-","-","-","5009.16"
"NIFTY TOTAL MARKET","03 Aug 2020","-","-","-","4930.31"
"NIFTY TOTAL MARKET","31 Jul 2020","-","-","-","4985.21"
"NIFTY TOTAL MARKET","30 Jul 2020","-","-","-","4982.44"
"NIFTY TOTAL MARKET","29 Jul 2020","-","-","-","5017.44"
"NIFTY TOTAL MARKET","28 Jul 2020","-","-","-","5041.53"
"NIFTY TOTAL MARKET","27 Jul 2020","-","-","-","4977.70"
"NIFTY TOTAL MARKET","24 Jul 2020","-","-","-","5011.93"
"NIFTY TOTAL MARKET","23 Jul 2020","-","-","-","5027.29"
"NIFTY TOTAL MARKET","22 Jul 2020","-","-","-","4990.18"
"NIFTY TOTAL MARKET","21 Jul 2020","-","-","-","5003.29"
"NIFTY TOTAL MARKET","20 Jul 2020","-","-","-","4956.62"
"NIFTY TOTAL MARKET","17 Jul 2020","-","-","-","4907.06"
"NIFTY TOTAL MARKET","16 Jul 2020","-","-","-","4836.07"
"NIFTY TOTAL MARKET","15 Jul 2020","-","-","-","4794.69"
"NIFTY TOTAL MARKET","14 Jul 2020","-","-","-","4797.28"
"NIFTY TOTAL MARKET","13 Jul 2020","-","-","-","4874.77"
"NIFTY TOTAL MARKET","10 Jul 2020","-","-","-","4864.05"
"NIFTY TOTAL MARKET","09 Jul 2020","-","-","-","4885.03"
"NIFTY TOTAL MARKET","08 Jul 2020","-","-","-","4848.50"
"NIFTY TOTAL MARKET","07 Jul 2020","-","-","-","4884.24"
"NIFTY TOTAL MARKET","06 Jul 2020","-","-","-","4865.31"
"NIFTY TOTAL MARKET","03 Jul 2020","-","-","-","4799.87"
"NIFTY TOTAL MARKET","02 Jul 2020","-","-","-","4773.68"
"NIFTY TOTAL MARKET","01 Jul 2020","-","-","-","4722.28"
"NIFTY TOTAL MARKET","30 Jun 2020","-","-","-","4677.86"
"NIFTY TOTAL MARKET","29 Jun 2020","-","-","-","4685.38"
"NIFTY TOTAL MARKET","26 Jun 2020","-","-","-","4724.56"
"NIFTY TOTAL MARKET","25 Jun 2020","-","-","-","4691.89"
"NIFTY TOTAL MARKET","24 Jun 2020","-","-","-","4689.56"
"NIFTY TOTAL MARKET","23 Jun 2020","-","-","-","4758.21"
"NIFTY TOTAL MARKET","22 Jun 2020","-","-","-","4683.28"
"NIFTY TOTAL MARKET","19 Jun 2020","-","-","-","4637.32"
"NIFTY TOTAL MARKET","18 Jun 2020","-","-","-","4571.68"
"NIFTY TOTAL MARKET","17 Jun 2020","-","-","-","4492.16"
