"Date","Price","Open","High","Low","Vol.","Change %"
"18-06-2008","5,588.82","5,588.82","5,588.82","5,588.82","","-1.50%"
"17-06-2008","5,674.15","5,674.15","5,674.15","5,674.15","","1.76%"
"16-06-2008","5,575.95","5,575.95","5,575.95","5,575.95","","1.24%"
"13-06-2008","5,507.44","5,507.44","5,507.44","5,507.44","","-0.49%"
"12-06-2008","5,534.58","5,534.58","5,534.58","5,534.58","","0.35%"
"11-06-2008","5,515.36","5,515.36","5,515.36","5,515.36","","1.66%"
"10-06-2008","5,425.39","5,425.39","5,425.39","5,425.39","","-1.14%"
"09-06-2008","5,487.73","5,487.73","5,487.73","5,487.73","","-2.74%"
"06-06-2008","5,642.43","5,642.43","5,642.43","5,642.43","","-1.05%"
"05-06-2008","5,702.34","5,702.34","5,702.34","5,702.34","","1.99%"
"04-06-2008","5,590.94","5,590.94","5,590.94","5,590.94","","-2.76%"
"03-06-2008","5,749.83","5,749.83","5,749.83","5,749.83","","-0.50%"
"02-06-2008","5,778.70","5,778.70","5,778.70","5,778.70","","-2.68%"
"30-05-2008","5,937.81","5,937.81","5,937.81","5,937.81","","0.72%"
"29-05-2008","5,895.41","5,895.41","5,895.41","5,895.41","","-1.60%"
"28-05-2008","5,991.15","5,991.15","5,991.15","5,991.15","","1.21%"
"27-05-2008","5,919.80","5,919.80","5,919.80","5,919.80","","-0.31%"
"26-05-2008","5,938.40","5,938.40","5,938.40","5,938.40","","-1.44%"
"23-05-2008","6,025.43","6,025.43","6,025.43","6,025.43","","-1.57%"
"22-05-2008","6,121.51","6,121.51","6,121.51","6,121.51","","-1.80%"
"21-05-2008","6,233.83","6,233.83","6,233.83","6,233.83","","0.25%"
"20-05-2008","6,217.98","6,217.98","6,217.98","6,217.98","","-1.02%"
"16-05-2008","6,282.21","6,282.21","6,282.21","6,282.21","","0.83%"
"15-05-2008","6,230.52","6,230.50","6,230.50","6,230.50","","2.06%"
"14-05-2008","6,104.47","6,104.47","6,104.47","6,104.47","","1.09%"
"13-05-2008","6,038.76","6,038.76","6,038.76","6,038.76","","-1.09%"
"12-05-2008","6,105.53","6,105.53","6,105.53","6,105.53","","0.60%"
"09-05-2008","6,068.94","6,068.94","6,068.94","6,068.94","","-1.95%"
"08-05-2008","6,189.65","6,189.65","6,189.65","6,189.65","","-1.00%"
"07-05-2008","6,252.05","6,252.05","6,252.05","6,252.05","","-0.18%"
"06-05-2008","6,263.17","6,263.17","6,263.17","6,263.17","","-0.92%"
"05-05-2008","6,321.13","6,321.13","6,321.13","6,321.13","","-0.69%"
"02-05-2008","6,364.89","6,364.89","6,364.89","6,364.89","","1.21%"
"30-04-2008","6,289.07","6,289.07","6,289.07","6,289.07","","-0.57%"
"29-04-2008","6,325.09","6,325.09","6,325.09","6,325.09","","2.09%"
"28-04-2008","6,195.76","6,195.76","6,195.76","6,195.76","","-0.43%"
"25-04-2008","6,222.55","6,222.55","6,222.55","6,222.55","","2.24%"
"24-04-2008","6,086.43","6,086.43","6,086.43","6,086.43","","-0.46%"
"23-04-2008","6,114.37","6,114.37","6,114.37","6,114.37","","-0.52%"
"22-04-2008","6,146.63","6,146.63","6,146.63","6,146.63","","0.24%"
"21-04-2008","6,131.62","6,131.62","6,131.62","6,131.62","","1.59%"
"17-04-2008","6,035.71","6,035.71","6,035.71","6,035.71","","1.45%"
"16-04-2008","5,949.20","5,949.20","5,949.20","5,949.20","","0.16%"
"15-04-2008","5,939.87","5,939.87","5,939.87","5,939.87","","2.13%"
"11-04-2008","5,815.89","5,815.89","5,815.89","5,815.89","","0.95%"
"10-04-2008","5,761.35","5,761.35","5,761.35","5,761.35","","-0.29%"
"09-04-2008","5,778.16","5,778.16","5,778.16","5,778.16","","0.79%"
"08-04-2008","5,732.64","5,732.64","5,732.64","5,732.64","","-1.08%"
"07-04-2008","5,795.39","5,795.39","5,795.39","5,795.39","","2.46%"
"04-04-2008","5,656.40","5,656.40","5,656.40","5,656.40","","-2.61%"
"03-04-2008","5,808.01","5,808.01","5,808.01","5,808.01","","0.37%"
"02-04-2008","5,786.85","5,786.85","5,786.85","5,786.85","","0.31%"
"01-04-2008","5,769.05","5,769.05","5,769.05","5,769.05","","0.11%"
"31-03-2008","5,762.88","5,762.88","5,762.88","5,762.88","","-4.20%"
"28-03-2008","6,015.47","6,015.47","6,015.47","6,015.47","","2.31%"
"27-03-2008","5,879.40","5,879.40","5,879.40","5,879.40","","0.03%"
"26-03-2008","5,877.72","5,877.72","5,877.72","5,877.72","","-1.00%"
"25-03-2008","5,936.92","5,936.92","5,936.92","5,936.92","","5.81%"
"24-03-2008","5,611.17","5,611.17","5,611.17","5,611.17","","0.79%"
"19-03-2008","5,567.43","5,567.43","5,567.43","5,567.43","","0.90%"
"18-03-2008","5,517.59","5,517.59","5,517.59","5,517.59","","-4.47%"
"17-03-2008","5,775.57","5,775.57","5,775.57","5,775.57","","0.00%"
"14-03-2008","5,775.57","5,775.57","5,775.57","5,775.57","","2.64%"
"13-03-2008","5,626.82","5,626.82","5,626.82","5,626.82","","-5.10%"
"12-03-2008","5,929.12","5,929.12","5,929.12","5,929.12","","0.13%"
"11-03-2008","5,921.71","5,921.71","5,921.71","5,921.71","","1.36%"
"10-03-2008","5,842.02","5,842.02","5,842.02","5,842.02","","0.60%"
"07-03-2008","5,806.95","5,806.95","5,806.95","5,806.95","","-3.04%"
"05-03-2008","5,989.23","5,989.23","5,989.23","5,989.23","","1.17%"
"04-03-2008","5,919.69","5,919.69","5,919.69","5,919.69","","-1.79%"
"03-03-2008","6,027.69","6,027.69","6,027.69","6,027.69","","-5.18%"
"29-02-2008","6,356.92","6,356.92","6,356.92","6,356.92","","-1.17%"
"28-02-2008","6,431.87","6,431.87","6,431.87","6,431.87","","0.32%"
"27-02-2008","6,411.53","6,411.53","6,411.53","6,411.53","","-0.03%"
"26-02-2008","6,413.55","6,413.55","6,413.55","6,413.55","","1.33%"
"25-02-2008","6,329.13","6,329.13","6,329.13","6,329.13","","1.76%"
"22-02-2008","6,219.66","6,219.66","6,219.66","6,219.66","","-1.56%"
"21-02-2008","6,318.30","6,318.30","6,318.30","6,318.30","","0.72%"
"20-02-2008","6,272.88","6,272.88","6,272.88","6,272.88","","-2.39%"
"19-02-2008","6,426.66","6,426.66","6,426.66","6,426.66","","0.07%"
"18-02-2008","6,421.91","6,421.91","6,421.91","6,421.91","","-0.49%"
"15-02-2008","6,453.55","6,453.55","6,453.55","6,453.55","","1.94%"
"14-02-2008","6,330.73","6,330.73","6,330.73","6,330.73","","5.53%"
"13-02-2008","5,998.76","5,998.76","5,998.76","5,998.76","","1.91%"
"12-02-2008","5,886.53","5,886.53","5,886.53","5,886.53","","-0.39%"
"11-02-2008","5,909.35","5,909.35","5,909.35","5,909.35","","-5.14%"
"08-02-2008","6,229.73","6,229.73","6,229.73","6,229.73","","-0.25%"
"07-02-2008","6,245.48","6,245.48","6,245.48","6,245.48","","-3.56%"
"06-02-2008","6,475.74","6,475.74","6,475.74","6,475.74","","-2.94%"
"05-02-2008","6,672.07","6,672.07","6,672.07","6,672.07","","0.37%"
"04-02-2008","6,647.28","6,647.28","6,647.28","6,647.28","","2.81%"
"01-02-2008","6,465.46","6,465.46","6,465.46","6,465.46","","3.52%"
"31-01-2008","6,245.45","6,245.45","6,245.45","6,245.45","","-0.58%"
"30-01-2008","6,282.15","6,282.15","6,282.15","6,282.15","","-2.14%"
"29-01-2008","6,419.74","6,419.74","6,419.74","6,419.74","","0.13%"
"28-01-2008","6,411.61","6,411.61","6,411.61","6,411.61","","-2.03%"
"25-01-2008","6,544.40","6,544.40","6,544.40","6,544.40","","6.95%"
"24-01-2008","6,119.07","6,119.07","6,119.07","6,119.07","","-3.27%"
"23-01-2008","6,325.66","6,325.66","6,325.66","6,325.66","","6.22%"
"22-01-2008","5,955.22","5,955.22","5,955.22","5,955.22","","-5.94%"
"21-01-2008","6,331.44","6,331.44","6,331.44","6,331.44","","-8.70%"
"18-01-2008","6,934.95","6,934.95","6,934.95","6,934.95","","-3.52%"
"17-01-2008","7,187.64","7,187.64","7,187.64","7,187.64","","-0.38%"
"16-01-2008","7,215.08","7,215.08","7,215.08","7,215.08","","-2.28%"
"15-01-2008","7,383.38","7,383.38","7,383.38","7,383.38","","-2.14%"
"14-01-2008","7,544.53","7,544.53","7,544.53","7,544.53","","0.11%"
"11-01-2008","7,536.23","7,536.23","7,536.23","7,536.23","","0.70%"
"10-01-2008","7,483.81","7,483.81","7,483.81","7,483.81","","-1.83%"
"09-01-2008","7,623.64","7,623.64","7,623.64","7,623.64","","-0.25%"
"08-01-2008","7,642.89","7,642.89","7,642.89","7,642.89","","0.22%"
"07-01-2008","7,626.41","7,626.41","7,626.41","7,626.41","","0.00%"
"04-01-2008","7,626.41","7,626.41","7,626.41","7,626.41","","1.55%"
"03-01-2008","7,510.02","7,510.02","7,510.02","7,510.02","","-0.01%"
"02-01-2008","7,511.06","7,511.06","7,511.06","7,511.06","","0.57%"
"01-01-2008","7,468.49","7,468.49","7,468.49","7,468.49","","0.09%"
"31-12-2007","7,461.48","7,461.48","7,461.48","7,461.48","","0.97%"
"28-12-2007","7,389.90","7,389.90","7,389.90","7,389.90","","-0.03%"
"27-12-2007","7,392.06","7,392.06","7,392.06","7,392.06","","0.18%"
"26-12-2007","7,379.02","7,379.02","7,379.02","7,379.02","","1.53%"
"24-12-2007","7,268.18","7,268.18","7,268.18","7,268.18","","3.79%"
"20-12-2007","7,002.72","7,002.72","7,002.72","7,002.72","","0.27%"
"19-12-2007","6,984.11","6,984.11","6,984.11","6,984.11","","0.16%"
"18-12-2007","6,972.75","6,972.75","6,972.75","6,972.75","","-0.60%"
